country,Code,Year,Electric cars sold,Region,CO2 emissions from fuel combustion (MtCO2),Average CO2 emission factor (tCO2/toe),CO2 intensity at constant purchasing power parities (kCO2/$15p),Total energy production (Mtoe),Total energy consumption (Mtoe),Share of renewables in electricity production (%),Share of electricity in total final energy consumption (%),Oil products domestic consumption (Mt),Refined oil products production (Mt),Natural gas production (bcm),Natural gas domestic consumption (bcm),Energy intensity of GDP at constant purchasing power parities (koe/$15p),Electricity production (TWh),Electricity domestic consumption (TWh),Coal and lignite domestic consumption (Mt),Share of wind and solar in electricity production (%),Crude oil production (Mt),Coal and lignite production (Mt),Total energy consumption (EJ),Carbon Intensity (MtCO2 per EJ),Clean electricity share (%)
Portugal,PRT,2016,1800,Europe,47.63142417,2.178333607,0.151925439,6.06593469,21.86599151,55.52387741,24.69820819,9.039,14.915,,5.049004078,0.06974388,60.329,47.36,4.811,22.40381906,0.071,0.281,0.9154853325406801,52.02860436639871,77.92769647
Portugal,PRT,2017,4400,Europe,51.99430623,2.276821554,0.160223327,5.287093595,22.83635541,40.90052179,24.40326573,9.151641,15.477508,,6.282251226,0.070371491,59.431721,47.660588,5.453806,22.64121545,0.070827,0.27,0.95611252830588,54.38094857111417,63.54173724
Portugal,PRT,2018,8200,Europe,48.12654262,2.180736428,0.144770368,5.935758708,22.06894057,51.37321482,25.44853329,8.59659,13.795726,,5.728976344,0.066386,59.636081,48.897005,4.552338,23.22900293,0.06538,0.221,0.92398240378476,52.0859947363359,74.60221775
Portugal,PRT,2019,12600,Europe,44.52823965,2.053416777,0.131107762,5.747946086,21.68494977,54.12277252,24.00536603,9.255615958,13.08160137,,6.007052962,0.063848588,52.95584094,48.17622511,2.115979484,28.94146221,0.066,0.197,0.9079054769703601,49.04501710749532,83.06423473
Portugal,PRT,2020,19800,Europe,38.90538033,1.943811809,0.123973988,6.149069422,20.0149933,59.70064134,24.43401699,8.193063469,11.57070696,,5.966754776,0.063778802,53.09929117,45.99130983,0.960874894,26.80374199,0.066625879,0.147,0.8379877394844001,46.427147435280894,86.50438333
South Korea,KOR,2015,3350,Asia & Pacific,638.4330924,2.255891786,0.34995445,61.73565397,283.006967,2.585865311,21.99253813,97.743,140.348,0.187999981,44.32197376,0.155129095,552.697,506.645,135.0120586,1.249147363,0.658,1.764,11.848935694356,53.88104964601206,3.835012674
South Korea,KOR,2016,5030,Asia & Pacific,655.9002989,2.235905436,0.349297052,62.37674426,293.3488547,3.496426432,22.28010016,102.239,146.377,0.153999909,47.02404469,0.156221746,562.603,530.142,134.9580312,1.501236218,0.689,1.726,12.281929848579601,53.403683866168194,4.99766265
South Korea,KOR,2017,14670,Asia & Pacific,665.3422564,2.25504582,0.343795663,61.89858198,295.0460033,4.023300737,21.84219998,102.942633,153.462,0.340487889,48.75451383,0.152456176,566.879572,538.384461,138.4664083,1.972903691,0.718,1.486,12.3529860661644,53.86084407740198,5.9962044279999995
South Korea,KOR,2018,59400,Asia & Pacific,667.3758962,2.256103807,0.335884053,58.80191498,295.8090377,4.564731445,22.20875938,99.990798,158.507,0.291197008,54.11191938,0.148877925,590.111167,545.483938,139.010125,2.359433235,0.774,1.14,12.3849327904236,53.886113674838434,6.92416468
South Korea,KOR,2019,35700,Asia & Pacific,608.4214248,2.079728456,0.300093903,62.12397669,292.5484926,5.343168389,22.26020647,99.685347,157.4790143,0.246397468,52.45599355,0.144294753,582.2447003,538.3705905,131.0825141,3.161424809,0.634761905,1.0298,12.2484202881768,49.67346077986067,8.504593198
South Korea,KOR,2020,39700,Asia & Pacific,569.7679483,2.015087861,0.283867383,67.11643754,282.7509208,7.073798163,22.68485701,93.92685555,145.9620898,0.176709296,53.03057678,0.140870971,570.9987655,525.5302655,114.8577182,5.15932276,0.421809524,0.96805,11.838215552054402,48.129546703609606,12.233120923000001
Spain,ESP,2011,398,Europe,270.3435999,2.160608587,0.167874928,31.78499822,125.12382,30.57271301,23.38601375,53.664,56.512,0.05199997,33.25002409,0.077697982,293.847,248.835,24.694,17.86235694,0.1,9.445,5.23868409576,51.60524951653532,48.43506995
Spain,ESP,2012,540,Europe,265.4876967,2.134423406,0.169887278,32.79816639,124.3838012,30.44068571,24.21304014,49.451,61.235,0.061000005,32.39702623,0.079593991,297.559,245.503,28.449,20.70681781,0.142,8.43,5.2077009886416,50.97982723644259,51.14750352
